QCDate,ProductLevel,Count
2020-01-28,1.0,8
2020-01-28,2.0,2
2020-01-29,1.0,10
2020-01-29,2.0,9
2020-01-30,1.0,11
2020-01-30,2.0,4
2020-01-30,3.0,1
2020-01-31,1.0,2
2020-01-31,2.0,5
2020-02-03,1.0,4
2020-02-03,2.0,4
2020-02-03,3.0,2
2020-02-04,1.0,19
2020-02-04,2.0,8
2020-02-05,1.0,6
2020-02-05,2.0,15
2020-02-05,3.0,1
2020-02-06,1.0,20
2020-02-06,2.0,14
2020-02-06,3.0,2
2020-02-07,1.0,7
2020-02-07,2.0,20
2020-02-10,1.0,24
2020-02-10,2.0,18
2020-02-10,3.0,1
2020-02-11,1.0,24
2020-02-11,2.0,16
2020-02-12,1.0,10
2020-02-12,2.0,9
2020-02-13,1.0,7
2020-02-13,2.0,24
2020-02-13,3.0,1
2020-02-14,1.0,15
2020-02-14,2.0,5
2020-02-18,1.0,8
2020-02-18,2.0,19
2020-02-18,3.0,1
2020-02-19,1.0,21
2020-02-19,2.0,13
2020-02-20,1.0,8
2020-02-20,2.0,16
2020-02-21,1.0,10
2020-02-21,2.0,25
2020-02-24,1.0,9
2020-02-24,2.0,4
2020-02-24,3.0,2
2020-02-25,1.0,7
2020-02-25,2.0,22
2020-02-26,1.0,13
2020-02-26,2.0,13
2020-02-26,3.0,4
2020-02-27,1.0,19
2020-02-27,2.0,6
